"occupation_id","function_category","role_summary","function_statement","accountability_statement","primary_output","primary_stakeholder","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","source_mix","notes"
"occ_23_1011_00","advice_advocacy","Interpret, apply, and uphold the law while advising and advocating for clients in legal matters.","Convert legal facts, rules, and strategy into accountable advice, negotiation, and representation.","Remain professionally accountable for legal judgment, client advocacy, ethical duties, and final representation decisions.","Legally accountable advice and representation","Client, court, and institution","0.96","0.94","0.92","0.94","0.90","src_role_function_seed_2026_03","occupation_override"
"occ_23_2011_00","legal_support","Support legal matters by organizing records, drafting under supervision, and keeping procedure on track.","Turn case facts, records, deadlines, and draft materials into matter-ready legal support work.","Remain accountable for procedural reliability, record quality, and escalation of issues that require attorney judgment.","Matter-ready case support","Attorney and legal team","0.72","0.78","0.74","0.54","0.60","src_role_function_seed_2026_03","occupation_override"
"occ_15_2051_00","decision_intelligence","Build analytical assets that turn ambiguous business or technical questions into defensible decisions.","Frame problems, build analytical approaches, and interpret model outputs so stakeholders can act with confidence.","Remain accountable for analytical framing, model validity, and practical interpretation of outputs.","Decision-ready models and analysis","Business and technical decision-makers","0.86","0.66","0.36","0.64","0.72","src_role_function_seed_2026_03","occupation_override"
"occ_13_1111_00","problem_solving","Diagnose client problems and redesign processes, governance, or operating models that improve performance.","Turn ambiguous business issues into structured recommendations and implementation paths.","Remain accountable for problem framing, recommendation logic, and expected organizational impact.","Client-ready recommendations and operating-model changes","Client sponsor and leadership","0.82","0.74","0.32","0.66","0.76","src_role_function_seed_2026_03","occupation_override"
"occ_13_1082_00","orchestration","Keep complex cross-functional work aligned so delivery happens under real deadlines and constraints.","Convert goals, dependencies, risks, and stakeholder input into coordinated execution.","Remain accountable for delivery alignment, dependency management, and escalation quality.","Coordinated delivery plans and execution","Leadership, team, and customer","0.80","0.74","0.34","0.64","0.74","src_role_function_seed_2026_03","occupation_override"
"occ_13_2011_00","financial_integrity","Produce trustworthy financial reporting and judgment around controls, risk, and compliance.","Turn financial activity into accurate records, defensible reporting, and controlled decision support.","Remain accountable for financial correctness, control discipline, and compliance quality.","Reliable financial statements and control judgments","Management, investor, and regulator","0.82","0.76","0.70","0.62","0.74","src_role_function_seed_2026_03","occupation_override"
"occ_13_1041_00","control_assurance","Protect the organization by translating rules into workable control and review decisions.","Interpret policies, laws, and controls so operations remain compliant and auditable.","Remain accountable for control adequacy, escalation of material issues, and compliance interpretation.","Defensible compliance decisions and control evidence","Leadership, regulator, and operating team","0.84","0.80","0.78","0.70","0.76","src_role_function_seed_2026_03","occupation_override"
"occ_27_3042_00","information_translation","Turn product or system complexity into documentation people can actually use.","Translate technical complexity into accurate, maintainable, user-ready documentation.","Remain accountable for documentation accuracy, user fit, and release readiness.","Usable technical documentation","User, support, and product team","0.74","0.70","0.32","0.48","0.62","src_role_function_seed_2026_03","occupation_override"
"occ_41_3091_00","revenue_creation","Create revenue by understanding customer needs, shaping a solution, and winning agreement.","Turn discovery, solution shaping, and negotiation into committed service revenue.","Remain accountable for commercial judgment, relationship trust, and final deal commitments.","Closed service revenue and active accounts","Customer and revenue owner","0.76","0.86","0.28","0.62","0.82","src_role_function_seed_2026_03","occupation_override"
"occ_43_4051_00","service_resolution","Resolve customer problems in ways that preserve service continuity and trust.","Turn incoming issues and constraints into resolved cases, escalations, and retained customer trust.","Remain accountable for case quality, exception handling, and customer-facing judgment.","Resolved customer issues and retained trust","Customer and service organization","0.62","0.78","0.30","0.46","0.58","src_role_function_seed_2026_03","occupation_override"
"occ_27_3041_00","editorial_judgment","Improve content quality by deciding what should be clear, accurate, coherent, and publishable.","Turn draft material into publishable content through revision, quality control, and editorial judgment.","Remain accountable for final clarity, consistency, and editorial standards.","Publishable, high-quality content","Reader and publisher","0.80","0.78","0.30","0.56","0.70","src_role_function_seed_2026_03","occupation_override"
"occ_27_3023_00","public_information","Report accurate, timely information that people can trust under real-world uncertainty.","Turn reporting, verification, and synthesis into credible public information.","Remain accountable for source judgment, factual integrity, and public trust.","Credible reporting","Public and editor","0.80","0.86","0.36","0.64","0.74","src_role_function_seed_2026_03","occupation_override"
"occ_11_1021_00","orchestration","Keep multiple business functions aligned so services, teams, and resources produce results.","Turn goals, constraints, and operating signals into coordinated managerial execution.","Remain accountable for prioritization, performance outcomes, and resource tradeoffs.","Coordinated business execution","Leadership, team, and customer","0.76","0.72","0.38","0.64","0.76","src_role_function_seed_2026_03","occupation_override"
