case_id,occupation_id,role_category,seniority_level,ai_tool_support_level,residual_role_distinctiveness,dominant_task_clusters,role_critical_clusters,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,accepted_role_outlook,accepted_mode_of_change,accepted_residual_role_strength,accepted_personalization_fit,accepted_top_exposed_clusters,min_exposed_task_share,max_exposed_task_share,min_workflow_compression,max_workflow_compression,min_substitution_gap,max_substitution_gap,notes
cal_software_developers,occ_15_1252_00,software,3,0.75,0.65,cluster_drafting|cluster_qa_review,cluster_oversight_strategy,4,4,4,5,4,4,3,4,2,3,2,1,4,3,2,4,4,4,4,routine_tasks_absorbed|mostly_augmented,mostly_augmentation|mixed,moderate|strong,moderate|strong,cluster_drafting|cluster_documentation,0.45,0.80,0.22,0.50,0.10,0.30,reviewed_baseline_software
cal_operations_research,occ_15_2031_00,data-analysis,3,0.60,0.70,cluster_analysis|cluster_decision_support,cluster_decision_support,4,4,4,4,4,4,4,4,3,3,4,1,3,3,2,3,4,4,4,role_becomes_more_senior|mostly_augmented,mostly_augmentation,strong|moderate,moderate|strong,cluster_analysis|cluster_decision_support,0.08,0.25,0.01,0.08,0.005,0.05,reviewed_baseline_or_analyst
cal_management_analysts,occ_13_1111_00,consulting,3,0.45,0.72,cluster_decision_support|cluster_research_synthesis,cluster_decision_support,4,4,4,4,3,3,4,4,4,3,4,1,3,3,2,3,4,4,4,role_becomes_more_senior,mostly_augmentation|mixed,strong,moderate|strong,cluster_research_synthesis|cluster_analysis|cluster_decision_support,0.16,0.32,0.04,0.14,0.02,0.08,reviewed_baseline_management_analyst
cal_market_research,occ_13_1161_00,marketing,3,0.60,0.62,cluster_analysis|cluster_research_synthesis,cluster_analysis,4,4,4,4,4,3,3,4,3,3,3,1,3,3,2,3,4,4,4,mostly_augmented|routine_tasks_absorbed,mostly_augmentation|mixed,moderate|strong,moderate|strong,cluster_analysis|cluster_research_synthesis|cluster_qa_review,0.15,0.32,0.04,0.15,0.02,0.09,reviewed_baseline_market_research
cal_hr_specialists,occ_13_1071_00,hr,3,0.45,0.72,cluster_relationship_management|cluster_decision_support,cluster_relationship_management,4,4,4,4,3,3,4,4,4,3,5,1,3,3,2,3,4,4,4,role_becomes_more_senior|routine_tasks_absorbed,mixed|mostly_augmentation,strong,moderate|strong,cluster_qa_review|cluster_relationship_management|cluster_decision_support,0.15,0.30,0.04,0.15,0.02,0.09,reviewed_baseline_hr
cal_accountants,occ_13_2011_00,finance,3,0.55,0.70,cluster_qa_review|cluster_analysis,cluster_decision_support,4,4,5,5,4,4,3,4,3,3,3,1,3,3,2,3,4,4,4,role_becomes_more_senior|routine_tasks_absorbed,mixed|mostly_automation,strong|moderate,moderate|strong,cluster_qa_review|cluster_analysis|cluster_documentation|cluster_decision_support,0.10,0.26,0.03,0.12,0.015,0.08,reviewed_baseline_accountants
cal_lawyers,occ_23_1011_00,legal,4,0.35,0.82,cluster_analysis|cluster_client_interaction,cluster_client_interaction,4,4,4,4,3,2,5,4,5,3,5,1,3,3,2,3,4,4,4,role_becomes_more_senior,mostly_augmentation|mixed,strong,moderate|strong,cluster_research_synthesis|cluster_analysis|cluster_drafting|cluster_client_interaction,0.15,0.35,0.04,0.14,0.02,0.09,reviewed_baseline_lawyers
cal_writers_authors,occ_27_3043_00,content-writing,3,0.65,0.55,cluster_drafting|cluster_research_synthesis,cluster_drafting,4,4,4,5,4,4,3,4,2,3,2,1,3,3,2,3,4,4,4,routine_tasks_absorbed|role_narrows_but_remains_viable,mixed|mostly_automation,moderate,moderate|strong,cluster_drafting|cluster_documentation|cluster_research_synthesis,0.12,0.28,0.04,0.16,0.02,0.09,reviewed_baseline_writers
cal_project_management,occ_11_2021_00,product-management,4,0.60,0.78,cluster_coordination|cluster_decision_support,cluster_oversight_strategy,4,4,4,4,3,3,5,4,4,3,4,1,4,3,2,3,4,4,4,role_becomes_more_senior|mostly_augmented,mostly_augmentation,strong,moderate|strong,cluster_coordination|cluster_decision_support|cluster_qa_review,0.22,0.45,0.08,0.20,0.04,0.12,reviewed_baseline_project_management
cal_admin_assistants,occ_43_6014_00,admin,2,0.45,0.45,cluster_workflow_admin|cluster_documentation,cluster_workflow_admin,4,4,4,5,4,4,2,4,2,3,2,1,3,3,2,3,4,4,4,routine_tasks_absorbed|role_narrows_but_remains_viable,mostly_automation|mixed,moderate|weak,moderate|weak|strong,cluster_workflow_admin|cluster_documentation|cluster_execution_routine,0.05,0.20,0.015,0.08,0.008,0.04,reviewed_baseline_admin_assistant
