"occupation_id","core_task_share","support_task_share","mean_value_centrality","mean_bargaining_power_weight","dependency_density","coverage_gap_flag","review_status","notes"
"occ_11_1021_00","0.7786","0.1841","0.7896","0.7831","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1041_00","0.7169","0.2831","0.7687","0.6904","0.8333","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1071_00","0.7080","0.2811","0.7913","0.7314","0.8000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1081_00","0.6231","0.3769","0.8074","0.7937","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1082_00","0.2500","0.7000","0.5705","0.6148","0.7895","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1111_00","0.9138","0.0863","0.8159","0.7766","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1151_00","0.6385","0.3128","0.7294","0.7013","0.6579","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1161_00","0.8961","0.1039","0.8204","0.7356","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_1199_00","0.6288","0.3142","0.6999","0.6524","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_2011_00","0.5607","0.3777","0.7094","0.6673","0.5419","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_13_2051_00","0.0770","0.9240","0.5741","0.6001","0.2769","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1211_00","0.6053","0.3621","0.7125","0.6683","0.5628","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1252_00","0.3948","0.5299","0.6401","0.5370","0.6250","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_1254_00","0.7301","0.2222","0.7370","0.6363","0.5172","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_2031_00","0.9231","0.0770","0.8292","0.8102","0.9559","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_15_2051_00","0.1875","0.8125","0.5808","0.5877","0.5833","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_17_2072_00","0.4860","0.3519","0.6561","0.6603","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_17_2141_00","0.5137","0.4556","0.7102","0.6977","0.5556","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_23_1011_00","0.9579","0.0295","0.8490","0.8089","0.8442","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_23_2011_00","0.6709","0.3077","0.7313","0.6593","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_1024_00","0.9204","0.0711","0.8229","0.6365","0.2339","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3023_00","0.6703","0.3296","0.8049","0.6600","0.4483","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3031_00","0.6821","0.2786","0.7383","0.6415","0.7190","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3041_00","0.8215","0.1576","0.8062","0.7172","0.6429","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3042_00","0.9343","0.0324","0.7337","0.6290","0.5229","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_27_3043_00","0.5876","0.4118","0.7058","0.6588","0.3158","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_3011_00","0.9559","0.0330","0.8678","0.7465","0.7105","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_41_3091_00","0.8524","0.1482","0.6897","0.7946","0.4902","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_3031_00","0.7294","0.2443","0.7497","0.6322","0.2778","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_4051_00","0.8020","0.1851","0.8240","0.7774","1.0000","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_6011_00","0.5745","0.4017","0.7547","0.6493","0.7792","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_6014_00","0.4101","0.5099","0.6824","0.5962","0.4516","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_9061_00","0.3833","0.5620","0.6909","0.6166","0.3421","false","seeded_role_graph","seeded_role_graph_ready_for_review"
"occ_43_9111_00","0.8046","0.1954","0.7931","0.7078","0.5882","false","seeded_role_graph","seeded_role_graph_ready_for_review"
